#: table_doi: 10.17182/hepdata.95354.v2/t10
#: name: Cross section limits vs. lifetime and mass, wino LSP
#: description: The expected and observed 95% CL upper limits on the product of cross section and branching fraction for direct production of charginos as a function of chargino mass and mean proper lifetime, with a purely wino LSP. The branching fraction for $\widetilde{\chi}^{\pm}_{1} \rightarrow \widetilde{\chi}^{0}_{1} \pi^{\pm}$ is set to 100%. Shown are the full Run 2 results, derived from the results of the search in the 2017 and 2018 data sets combined with those of the previous CMS result obtained in the 2015 and 2016 data sets. The cross section includes both $\widetilde{\chi}^{\pm}_{1} \widetilde{\chi}^{0}_{1}$ and $\widetilde{\chi}^{\pm}_{1}\widetilde{\chi}^{\mp}_{1}$ production in roughly a 2:1 ratio for all chargino masses considered.
#: data_file: cross_section_limits_vs._lifetime_and_mass,_wino_lsp.yaml
Chargino lifetime [ns],Chargino mass [GeV],Observed 95\% CL upper limits on $\sigma$ B [pb]
25.017,1000.0,0.0091586
28.353,1000.0,0.010205
31.689,1000.0,0.011251
50.035,1000.0,0.01234
83.391,1000.0,0.024744
116.75,1000.0,0.034182
150.1,1000.0,0.043128
183.46,1000.0,0.051895
216.82,1000.0,0.060382
250.17,1000.0,0.068345
283.53,1000.0,0.076213
316.89,1000.0,0.083744
350.24,1000.0,0.090907
0.0083391,1100.0,22576000000.0
0.011675,1100.0,125030000.0
0.01501,1100.0,834030.0
0.018346,1100.0,43351.0
0.021682,1100.0,6294.0
0.025017,1100.0,1604.3
0.028353,1100.0,582.32
0.031689,1100.0,267.35
0.050035,1100.0,142.67
0.083391,1100.0,6.9838
0.11675,1100.0,1.3951
0.1501,1100.0,0.45855
0.18346,1100.0,0.2102
0.21682,1100.0,0.11794
0.25017,1100.0,0.075429
0.28353,1100.0,0.052629
0.31689,1100.0,0.039269
0.50035,1100.0,0.030682
0.83391,1100.0,0.0088764
1.1675,1100.0,0.0058307
1.501,1100.0,0.0047064
1.8346,1100.0,0.0041534
2.1682,1100.0,0.0038552
2.5017,1100.0,0.0036928
2.8353,1100.0,0.0035993
3.1689,1100.0,0.003562
5.0035,1100.0,0.0035583
8.3391,1100.0,0.0039444
11.675,1100.0,0.0047412
15.01,1100.0,0.0056169
18.346,1100.0,0.0065282
21.682,1100.0,0.0074178
25.017,1100.0,0.0083565
28.353,1100.0,0.009264
31.689,1100.0,0.010165
50.035,1100.0,0.011098
83.391,1100.0,0.019742
116.75,1100.0,0.028137
150.1,1100.0,0.036294
183.46,1100.0,0.044211
216.82,1100.0,0.051844
250.17,1100.0,0.059159
283.53,1100.0,0.066358
316.89,1100.0,0.072966
350.24,1100.0,0.079128

